PC1,PC2,Level
0.06410446860806865,0.7905435762379133,Intermediate
0.2568531603755221,-1.6357538038550403,Intermediate
-1.7387444873320768,-0.1292347805976687,Beginner
3.291378961955369,0.3437413076953138,Advanced
2.7926928838415535,-0.7723888763002327,Advanced
-1.5451577879949032,1.5523417059296016,Beginner
-1.772901281038967,0.5160727931102888,Beginner
0.3217198326883887,-0.32494674310500626,Intermediate
4.2140067115732895,-1.164600823480466,Advanced
3.006171287601123,-0.7568820175266124,Advanced
-2.2530595968389515,1.7148034718421543,Beginner
0.8892079917898151,-1.0674126272678572,Intermediate
2.6205589958583717,0.7200208777424602,Advanced
-1.7787148889540718,0.8063409837827151,Beginner
0.4979246985463298,-1.2223654604025325,Intermediate
-2.5284425506780575,-1.403810753700637,Beginner
